trace_id,test_id,category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec,total_cost
000c9c537d45222ceadb96ac88041200,live_irrelevance_92-2-80,live_irrelevance,1,2275,243,1280,1137.5,121.5,640.0,27.348,2,1,0,0,0,1,1.0,0,309,309.0,309.0,0,0,2275.0,243.0,1280.0,27.348,13.674,0.0036147499999999995
005089de6c598aff97bb582100f63126,live_simple_68-32-0,live_simple,1,935,47,384,935.0,47.0,384.0,11.208,1,1,0,0,0,1,1.0,0,935,935.0,0.0,0,0,935.0,47.0,384.0,11.208,11.208,0.00109575
0065e32a9bfbfe08375b4eb712c344ee,simple_python_240,simple_python,1,948,45,1024,948.0,45.0,1024.0,37.731,1,1,0,0,0,1,1.0,0,948,948.0,0.0,0,0,948.0,45.0,1024.0,37.731,37.731,0.0023749999999999995
0069727750b003c0ea215c1b7722d4bf,simple_python_7,simple_python,1,934,48,576,934.0,48.0,576.0,10.963,1,1,0,0,0,1,1.0,0,934,934.0,0.0,0,0,934.0,48.0,576.0,10.963,10.963,0.0014815
0070bd5b761b2ef836e1eb16669a44ca,multi_turn_miss_param_34,multi_turn_miss_param,0,36372,526,3648,5196.0,75.14285714285714,521.1428571428571,59.51800000000001,7,3,0,0,2,4,1.3333333333333333,3,704,352.0,117.33333333333333,0,0,12124.0,175.33333333333334,1216.0,19.839333333333336,8.50257142857143,0.017441
00a874ab47b04a58603984108f41094a,live_irrelevance_439-110-1,live_irrelevance,0,908,42,448,908.0,42.0,448.0,10.904,1,1,0,0,0,1,1.0,0,908,908.0,0.0,0,0,908.0,42.0,448.0,10.904,10.904,0.001207
00dc6cf497f8f781049702ec59350fb4,live_multiple_598-158-4,live_multiple,0,1283,64,1024,1283.0,64.0,1024.0,30.446,1,1,0,0,0,1,1.0,0,1283,1283.0,0.0,0,0,1283.0,64.0,1024.0,30.446,30.446,0.00249675
00dfce6dd4da9b3697022343b934d92a,live_multiple_380-136-1,live_multiple,0,2083,53,576,2083.0,53.0,576.0,12.523,1,1,0,0,0,1,1.0,0,2083,2083.0,0.0,0,0,2083.0,53.0,576.0,12.523,12.523,0.00177875
00e023f1f02a382931739daac29b0962,live_irrelevance_444-114-0,live_irrelevance,1,1070,83,448,1070.0,83.0,448.0,12.815,1,1,0,0,0,0,0.0,0,1070,1070.0,0.0,0,0,1070.0,83.0,448.0,12.815,12.815,0.0013295
00e14a7cee12223a86c880faea551831,irrelevance_169,irrelevance,1,961,65,960,961.0,65.0,960.0,21.706,1,1,0,0,0,0,0.0,0,961,961.0,0.0,0,0,961.0,65.0,960.0,21.706,21.706,0.0022902499999999998
00f2026f9fa5b4dfa46551f185bd23ee,live_multiple_226-100-0,live_multiple,1,1605,66,512,1605.0,66.0,512.0,11.132,1,1,0,0,0,1,1.0,0,1605,1605.0,0.0,0,0,1605.0,66.0,512.0,11.132,11.132,0.0015572499999999998
00fda8cb9301d99d96806854964a52b7,irrelevance_171,irrelevance,1,2055,118,1408,1027.5,59.0,704.0,34.274,2,1,0,0,0,1,1.0,0,181,181.0,181.0,0,0,2055.0,118.0,1408.0,34.274,17.137,0.00356575
00feb7df6763855dc45131a312d22cf5,simple_java_38,simple_java,0,975,54,640,975.0,54.0,640.0,10.803,1,1,0,0,0,1,1.0,0,975,975.0,0.0,0,0,975.0,54.0,640.0,10.803,10.803,0.00163175
0107240f1cd7701e34698d0989e918de,live_multiple_143-55-1,live_multiple,1,1199,49,320,1199.0,49.0,320.0,7.126,1,1,0,0,0,1,1.0,0,1199,1199.0,0.0,0,0,1199.0,49.0,320.0,7.126,7.126,0.00103775
0128e4ed91036717c4d0fabfcd5f3d67,multiple_115,multiple,1,1261,62,640,1261.0,62.0,640.0,16.883,1,1,0,0,0,1,1.0,0,1261,1261.0,0.0,0,0,1261.0,62.0,640.0,16.883,16.883,0.0017192499999999999
0148ae068bdb09e7dcefe3f8eccaf85a,live_irrelevance_392-81-53,live_irrelevance,0,1301,133,1152,1301.0,133.0,1152.0,14.064,1,1,0,0,0,1,1.0,0,1301,1301.0,0.0,0,0,1301.0,133.0,1152.0,14.064,14.064,0.0028952500000000003
0158f990239f71416f6ef4f3b7e80767,live_irrelevance_604-193-6,live_irrelevance,0,3210,159,832,1605.0,79.5,416.0,24.384999999999998,2,1,0,0,0,2,2.0,1,246,246.0,246.0,0,0,3210.0,159.0,832.0,24.384999999999998,12.192499999999999,0.0027845
015e19feb3d8ed1c5b7d1436e561e5ee,multiple_154,multiple,1,1276,49,448,1276.0,49.0,448.0,12.491,1,1,0,0,0,1,1.0,0,1276,1276.0,0.0,0,0,1276.0,49.0,448.0,12.491,12.491,0.001313
0160ed02c3dcdd361b4608202b3db6bb,multi_turn_miss_param_177,multi_turn_miss_param,0,42787,1050,3520,5348.375,131.25,440.0,78.71199999999999,8,3,0,0,0,5,1.6666666666666667,4,829,414.5,118.42857142857143,0,0,14262.333333333334,350.0,1173.3333333333333,26.23733333333333,9.838999999999999,0.01983675
0165640d249c36cc8bdf60b6f4f1f76b,live_multiple_834-178-9,live_multiple,1,1443,68,640,1443.0,68.0,640.0,22.336,1,1,0,0,0,1,1.0,0,1443,1443.0,0.0,0,0,1443.0,68.0,640.0,22.336,22.336,0.00177675
016ae3f2cb9f452da59e90a533877c85,multi_turn_long_context_105,multi_turn_long_context,1,88621,640,4864,17724.2,128.0,972.8,96.40299999999999,5,2,0,0,0,3,1.5,2,22242,22242.0,5560.5,0,0,44310.5,320.0,2432.0,48.201499999999996,19.2806,0.03316324999999999
018b1838ab00957751d27d51acc6d796,live_multiple_315-132-5,live_multiple,1,1632,63,384,1632.0,63.0,384.0,8.181,1,1,0,0,0,1,1.0,0,1632,1632.0,0.0,0,0,1632.0,63.0,384.0,8.181,8.181,0.001302
018bc6fa1fc7b03972e58f601d910f22,live_simple_239-125-2,live_simple,0,990,53,1024,990.0,53.0,1024.0,18.791,1,1,0,0,0,1,1.0,0,990,990.0,0.0,0,0,990.0,53.0,1024.0,18.791,18.791,0.0024015
0191c68ba69f7646a3bae722cba9dd5c,live_simple_36-13-0,live_simple,1,968,52,1024,968.0,52.0,1024.0,21.598,1,1,0,0,0,1,1.0,0,968,968.0,0.0,0,0,968.0,52.0,1024.0,21.598,21.598,0.002394
